time,ghi,ghi_clear_sky,day,GHI_daily_max_clearsky,GHI_percent_wrt_max
2023-06-01 17:30:00,244.0,570.8995480157794,2023-06-01,935.7725117780128,26.07471334420673
2023-06-01 17:40:00,263.0,543.9524529174164,2023-06-01,935.7725117780128,28.10512135051791
2023-06-01 17:50:00,254.0,516.4441857494786,2023-06-01,935.7725117780128,27.143349137002087
2023-06-01 18:00:00,195.0,488.4303460158349,2023-06-01,935.7725117780128,20.838397959509475
2023-06-01 18:10:00,215.0,459.9681712980776,2023-06-01,935.7725117780128,22.975669545100192
2023-06-01 18:20:00,170.0,431.1166075138733,2023-06-01,935.7725117780128,18.166808477521084
2023-06-01 18:30:00,143.0,401.9364518279651,2023-06-01,935.7725117780128,15.281491836973617
2023-06-01 18:40:00,125.0,372.4905865964985,2023-06-01,935.7725117780128,13.357947409941971
2023-06-01 18:50:00,111.0,342.84435143516686,2023-06-01,935.7725117780128,11.861857300028472
2023-06-01 19:00:00,98.0,313.0661249260783,2023-06-01,935.7725117780128,10.472630769394506
2023-06-01 19:10:00,88.0,283.2282321740618,2023-06-01,935.7725117780128,9.403994976599147
2023-06-01 19:20:00,81.0,253.4083750624683,2023-06-01,935.7725117780128,8.655949921642398
2023-06-01 19:30:00,72.0,223.691911674416,2023-06-01,935.7725117780128,7.694177708126576
2023-06-01 19:40:00,44.0,194.17562694491355,2023-06-01,935.7725117780128,4.7019974882995745
2023-06-01 19:50:00,34.0,164.97411338128555,2023-06-01,935.7725117780128,3.633361695504216
2023-06-01 20:00:00,32.0,136.23110676013786,2023-06-01,935.7725117780128,3.419634536945145
2023-06-01 20:10:00,27.0,108.14068423740127,2023-06-01,935.7725117780128,2.885316640547466
2023-06-01 20:20:00,20.0,80.98956682018823,2023-06-01,935.7725117780128,2.1372715855907156
2023-06-01 20:30:00,14.0,55.24842742624873,2023-06-01,935.7725117780128,1.4960901099135009
2023-06-01 20:40:00,9.0,31.787762891441275,2023-06-01,935.7725117780128,0.961772213515822
2023-06-01 20:50:00,5.0,12.432138116217914,2023-06-01,935.7725117780128,0.5343178963976789
2023-06-01 21:00:00,1.0,1.193153276338937,2023-06-01,935.7725117780128,0.1068635792795357
2023-06-01 21:10:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 21:20:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 21:30:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 21:40:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
2023-06-01 21:50:00,0.0,0.0,2023-06-01,935.7725117780128,0.0
